Station Name,Genre,URL
DEF CON Radio [SomaFM],"Ambient, Space",http://ice2.somafm.com/defcon-128-aac
Black Rock FM [SomaFM],"Ambient, Downtempo",http://ice2.somafm.com/brfm-128-aac
Drone Zone [SomaFM],Ambient Downtempo,http://ice4.somafm.com/dronezone-128-aac
SF 10-33 [SomaFM],"Downtempo, Chillout",http://ice4.somafm.com/sf1033-128-aac
Deep Space One [SomaFM],Ambient Experimental,http://ice2.somafm.com/deepspaceone-128-aac
Mission Control [SomaFM],"DarkAmbient, ChillOut",http://ice4.somafm.com/missioncontrol-128-aac
Space Station Soma [SomaFM],"ChillOut, Ambient, PsyChill",http://ice3.somafm.com/spacestation-128-mp3
Groove Salad [SomaFM],Ambient,http://ice4.somafm.com/groovesalad-128-aac
Groove Salad Classic [SomaFM],DarkAmbient,http://ice4.somafm.com/gsclassic-128-aac
Mixing of Particulate Solids,Ambient,http://147.175.61.55:8000
Ambi103,Ambient,http://173.208.177.90:16576
FmDomPMR,Ambient,http://130.185.144.199:18832
SleepBot Env. Broadcast,"Ambient, Downtempo",http://sc13.shoutcaststreaming.us:8194
Dark Ambient,Ambient,http://95.211.3.65:8835
Ambient Fantasy [DI],Ambient,http://5.39.71.159:8193
Cosmic Waves,"Germany, Chillout, Goa, Ambient",http://cosmicwaves.ru:8000
Relaxing Radio,"Drone, Ambient",http://149.56.195.94:8660
Infinite Space,"Ambient, Techno, Electronica",http://198.24.145.146:9654
Cryosleep: Echoes of BLUEMARS,Ambient,http://streams.echoesofbluemars.org:8000/cryosleep
Dark Ambient Radio,"Lounge, Ambient, Space",http://s3.viastreaming.net:8835/
PsyradioFM,Ambient,http://streamer.psyradio.org:8020/chillout
Verdure,"Relaxing, Drone, Ambient",http://air.verdure.net:8881
Systrum Sistum: SSR1,Ambient,http://systrum.net:8000/Systrum-Channel1
9128 Live,"New Age, Chillout, Ambient",http://streams.radio.co:80/s0aa1e6f4a/listen
Ultima Thule,"Chillout, Ambient",http://www.ultimathule.info/audio_programmes2019/UT_1298_56k.mp3
Space Travel Radio,"Chillout, Ambient",http://136.243.156.30:1701/stream/2/
ChromaNova,"Drone, Ambient, Downtempo, Lounge, Chillout",http://176.31.123.212:8192
Slow Focus: NTS,"Chillout, Lounge, Ambient",https://stream-mixtape-geo.ntslive.net/mixtape
Sleep Radio Stream,"Drone, Ambient",http://149.56.234.138:8169
Seven Rays [laut.fm],Ambient,http://7rays.stream.laut.fm/7rays
Radio Record,"Chillout, Downtempo, Ambient",http://air.radiorecord.ru:8102/chil_320
Radio Provodach,"Ambient, Chillout, Meditation, Lounge, NewAge",http://station.waveradio.org/provodach
Chillout Zone,"Ambient, Chillout",http://5.189.142.165:2304/stream
Radio Dimensione Relax,"Ambient, Chillout",http://tachyon.shoutca.st:8919/stream
Radio Caprice,"Ambient, Chillout",http://79.111.119.111:8002/droneambient
Planet Ambi,Ambient,http://philae.shoutca.st:9019
ChillTrax,"Ambient, Chillout, Downtempo",http://station.chilltrax.com
Ambient Radio,"Ambient, Chillout, NewAge",http://uk2.internet-radio.com:31491
Ambient Radio: Party Vibe,Ambient,http://94.130.238.52:8056/stream
Ambiesphere,"Lounge, Chillout, Ambient",http://uk5.internet-radio.com:8347
Nirvana Meditation,"Chillout, Trap, Chillstep, Ambient",http://81.219.54.6:8004
Vibration Zen Relax,Ambient,http://91.121.38.100:8220
Chillout Essentials [MixLive.ie],"Ambient, Chillout, Downtempo",http://198.24.145.146:9998
Sven Radio,"Ambient, Classical, Alternative",http://51.255.127.128:8012
Soar Walk Radio,"Chillout, EDM",http://188.165.192.5:8193
Indie Int. Lounge Network,"Psychdelic, Chillout, Ambient",http://206.190.130.182:8188
LFOD: Pi Radio,Ambient,http://radio.lfod.online:3140/mpd
Relaxing Radio,Ambient,http://149.56.195.94:8660
Serene,"Chillout, Ambient, Noise",http://192.99.17.12:4950
Radio Cykx,"Meditation, Ambient, Nature",http://104.238.193.114:7073
DeepSpaceChill: Radio InfoWeb,Ambient,http://stream.radioinfoweb.net:8000/chill
Radio Schizoid,"Ambient, Russian",http://94.130.113.214:8000/chill
Slowmodo Rain,Ambient,http://149.202.79.68:8139
UVB-76,"Ambient, Meditation",http://uk3-pn.mixstream.net:8370
Pink Noise Radio,Ambient,http://uk1.internet-radio.com:8004
intraNature,Ambient,http://192.240.102.198:14244
UrbaN_181fM: Jammin 181,"Hip Hop, Urban ",http://relay.181.fm:8042
UrbaN_181fM: Old School HipHop,"Hip Hop, Old School",http://relay.181.fm:8068
UrbaN_181fM: The Beat,"Hip Hop, Urban",http://relay.181.fm:8054
UrbaN_181fM: The Box,"Hip Hop, Urban",http://relay.181.fm:8024
UrbaN_181fM: True R&B,"R&B, Urban",http://relay.181.fm:8022
TechnO_181fM: Chilled Out,"Techno, Chill Out",http://relay.181.fm:8700
TechnO_181fM: Energy 93,"Techno, Dance, Electronic",http://relay.181.fm:8044
TechnO_181fM: Energy 98,"Techno, Dance, Electronic",http://relay.181.fm:8800
